sample_name,core,depth,pingo,SO4_mM,HS_mM,Alk_mM,core_flowtype,geochem_zone,readqualok,stage,Sample_or_Control,quant_reading,extracted_by
GC1070-052.0A,GC1070,52,p5,7.48,6.12,26.07,ss,lin,yes,steadystate,True Sample,32.2,stella
GC1070-056.0A,GC1070,56,p5,5.69,6.66,28.15,ss,lin,yes,steadystate,True Sample,33.2,stella
GC1070-063.0A,GC1070,63,p5,2.56,7.62,31.78,ss,lin,yes,steadystate,True Sample,35.8,stella
GC1070-063.0B,,,,,,,,,no,,True Sample,35.8,
GC1070-068.0A,GC1070,68,p5,0.33,8.31,34.37,ss,below,yes,steadystate,True Sample,41.2,stella
GC1070-068.0B,,,,,,,,,no,,True Sample,41.2,
GC1070-072.0A,GC1070,72,p5,0.357626516,8.081808666,34.129075,ss,below,yes,steadystate,True Sample,8.21,katie
GC1070-082.0A,GC1070,82,p5,0.433384562,7.508344906,33.52502144,ss,below,yes,steadystate,True Sample,5.53,katie
GC1070-101.0A,GC1070,101,p5,0.577324848,6.418763762,32.37731967,ss,below,yes,steadystate,True Sample,26.8,katie
GC1070-151.0A,GC1070,151,p5,0.77,3.89,30.47,ss,below,yes,steadystate,True Sample,37.6,stella
GC1070-201.0A,GC1070,201,p5,0.440040382,2.313008505,31.72429967,ss,below,yes,steadystate,True Sample,2.33,katie
GC1070-251.0A,GC1070,251,p5,0.101803856,1.338948886,30.62069471,ss,below,yes,steadystate,True Sample,6.72,katie
GC1070-311.0A,GC1070,311,p5,0.101803856,1.338948886,30.62069471,ss,below,yes,steadystate,True Sample,19,katie
GC1081-023.0A,GC1081,23,p4,23.93,0.05,5.06,inc,nss,yes,fluxincreasing,True Sample,64.2,stella
GC1081-049.0A,GC1081,49,p4,4.04,1.23,31.6,inc,nss,yes,fluxincreasing,True Sample,56,stella
GC1081-056.5A,GC1081,56.5,p4,0.63,2.58,25.56,inc,below,yes,fluxincreasing,True Sample,47.2,stella
GC1081-069.0A,GC1081,69,p4,0.49,1.54,33.8,inc,below,yes,fluxincreasing,True Sample,52.8,stella
GC1081-086.0A,GC1081,86,p4,0.49,3.4898424,38.07431475,inc,below,yes,fluxincreasing,True Sample,42.8,stella
PC1029-001.0A,PC1029,1,p3,28.06,0,2.3,inc,lin,yes,seep,True Sample,37.4,katie
PC1029-002.0A,PC1029,2,p3,27.82289454,0,2.459812237,inc,lin,yes,seep,True Sample,19.5,katie
PC1029-003.0A,PC1029,3,p3,27.58578908,0,2.619624474,inc,lin,yes,seep,True Sample,27,katie
PC1029-005.0A,PC1029,5,p3,27.27,0.1,3.1,inc,lin,yes,seep,True Sample,25.4,stella
PC1029-007.0A,PC1029,7,p3,27.38,0.2,4.1,inc,lin,yes,seep,True Sample,25.8,stella
PC1029-009.0A,PC1029,9,p3,26.35,0.95,6.6,inc,lin,yes,seep,True Sample,22,katie
PC1029-011.0A,PC1029,11,p3,25.32,1.7,9.1,inc,lin,yes,seep,True Sample,27.2,stella
PC1029-012.0A,PC1029,12,p3,20.67,3.3,15.15,inc,nss,yes,seep,True Sample,10.6,katie
PC1029-013.0A,PC1029,13,p3,16.02,4.9,21.2,inc,nss,yes,seep,True Sample,34.8,stella
PC1029-015.0A,PC1029,15,p3,12.22,4.2,25.8,inc,nss,yes,seep,True Sample,46.6,stella
PC1029-017.0A,PC1029,17,p3,14.67,3.5,21.9,inc,nss,yes,seep,True Sample,50.4,stella
PC1029-020.0A,PC1029,20,p3,11.58,3.46,29.1,inc,nss,yes,seep,True Sample,44.2,stella
PC1029-021.0A,PC1029,21,p3,9.41,3.7,34.5,inc,nss,yes,seep,True Sample,51.2,stella
PC1029-022.0A,PC1029,22,p3,9.58,4.46,33.16,inc,nss,yes,seep,True Sample,50.2,stella
PC1029-023.5A,PC1029,23.5,p3,10.22172382,4.726715397,32.48656223,inc,nss,yes,seep,True Sample,19.4,katie
